Timestamp,SpindleSpeed
1999-07-13,33.561329
1999-07-14,36.204296
1999-07-15,37.567188
1999-07-16,39.825001
1999-07-19,43.01133
1999-07-20,39.576954
1999-07-21,37.434765
1999-07-22,36.135155
1999-07-23,35.410545
1999-07-26,35.615623
1999-07-27,34.821484
1999-07-28,37.148438
1999-07-29,38.162891
1999-07-30,37.842968
1999-08-02,39.943359
1999-08-03,39.158203
1999-08-04,40.130077
1999-08-05,39.60117
1999-08-06,40.388283
1999-08-09,39.61953
1999-08-10,39.332813
1999-08-11,41.259766
1999-08-12,42.500782
1999-08-13,42.605858
1999-08-16,43.224609
1999-08-17,43.566013
1999-08-18,43.560547
1999-08-19,42.85117
1999-08-20,42.500389
1999-08-23,43.252735
1999-08-24,42.996876
1999-08-25,43.859764
1999-08-26,43.655468
1999-08-27,43.692577
1999-08-30,43.552734
1999-08-31,43.364063
1999-09-01,42.79414
1999-09-02,42.666016
1999-09-03,43.433594
1999-09-06,45.686718
1999-09-07,44.974216
1999-09-08,46.783985
1999-09-09,46.426952
1999-09-10,46.78281
1999-09-13,46.78281
1999-09-14,45.817188
1999-09-15,47.242577
1999-09-16,47.728516
1999-09-17,51.137501
1999-09-20,54.855469
1999-09-21,59.244141
1999-09-22,60.223827
1999-09-23,60.920311
1999-09-24,59.562111
1999-09-27,54.797264
1999-09-28,54.517967
1999-09-29,57.022655
1999-09-30,55.728127
1999-10-01,56.982033
1999-10-04,56.379295
1999-10-05,57.820313
1999-10-06,59.564453
1999-10-07,64.329689
1999-10-08,64.258987
1999-10-11,63.90078
1999-10-12,62.502735
1999-10-13,62.133595
1999-10-14,62.23008
1999-10-15,60.16328
1999-10-18,59.020313
1999-10-19,59.020313
1999-10-20,60.705467
1999-10-21,57.780079
1999-10-22,56.13203
1999-10-25,56.389454
1999-10-26,58.951172
1999-10-27,58.930077
1999-10-28,57.59531
1999-10-29,54.510548
1999-11-01,52.039063
1999-11-02,56.202343
1999-11-03,58.48711
1999-11-04,59.331249
1999-11-05,62.073048
1999-11-08,62.073048
1999-11-09,62.469139
1999-11-10,63.516407
1999-11-11,62.648045
1999-11-12,62.698437
1999-11-15,62.611328
1999-11-16,63.354687
1999-11-17,63.617188
1999-11-18,66.925781
1999-11-19,67.986328
1999-11-22,71.837502
1999-11-23,71.837502
1999-11-24,71.216797
1999-11-25,74.553513
1999-11-26,75.264061
1999-11-29,71.828903
1999-11-30,72.08242
1999-12-01,72.440628
1999-12-02,72.553909
1999-12-03,72.773827
1999-12-06,73.435547
1999-12-07,74.326172
1999-12-08,77.035156
1999-12-09,77.209763
1999-12-10,77.923828
1999-12-13,78.659767
1999-12-14,77.669144
1999-12-15,76.089844
1999-12-16,77.545311
1999-12-17,78.867966
1999-12-20,79.332031
1999-12-21,85.642967
1999-12-22,92.49453
1999-12-23,99.894142
1999-12-24,99.839844
1999-12-27,98.29258
1999-12-28,97.301956
1999-12-29,105.086327
1999-12-30,113.029297
1999-12-31,113.029297
2000-01-03,122.071877
2000-01-04,131.686722
2000-01-05,121.151955
2000-01-06,111.459763
2000-01-07,102.542969
2000-01-10,107.478905
2000-01-11,98.880859
2000-01-12,102.168358
2000-01-13,94.457809
2000-01-14,95.128128
2000-01-17,92.741409
2000-01-18,93.247269
2000-01-19,100.70195
2000-01-20,99.586327
2000-01-21,104.845314
2000-01-24,108.428123
2000-01-25,110.229691
2000-01-26,110.229691
2000-01-27,115.480469
2000-01-28,118.930466
2000-01-31,112.839066
2000-02-01,115.896873
2000-02-02,115.090622
2000-02-03,116.262497
2000-02-04,123.389847
2000-02-07,132.753128
2000-02-08,139.034378
2000-02-09,136.089844
2000-02-10,143.890625
2000-02-11,155.402344
2000-02-14,167.835159
2000-02-15,155.652344
2000-02-16,156.8414
2000-02-17,160.910934
2000-02-18,154.134369
2000-02-21,160.230469
2000-02-22,153.595306
2000-02-23,143.983597
2000-02-24,145.265625
2000-02-25,140.425003
2000-02-28,132.964066
2000-02-29,137.178131
2000-03-01,148.152344
2000-03-02,160.004684
2000-03-03,172.805466
2000-03-06,186.630463
2000-03-07,201.560944
2000-03-08,192.422653
2000-03-09,185.289841
2000-03-10,182.262497
2000-03-13,167.682037
2000-03-14,154.267975
2000-03-15,155.733597
2000-03-16,143.274994
2000-03-17,143.274994
2000-03-20,143.274994
2000-03-21,154.737503
2000-03-22,167.098434
2000-03-23,160.375778
2000-03-24,169.116409
2000-03-27,161.989838
2000-03-28,155.431244
2000-03-29,159.201569
2000-03-30,152.276566
2000-03-31,140.1586
2000-04-03,128.946091
2000-04-04,118.63047
2000-04-05,121.83828
2000-04-06,131.489059
2000-04-07,142.008591
2000-04-10,153.369537
2000-04-11,165.612503
2000-04-12,157.453125
2000-04-13,144.857025
2000-04-14,144.857025
2000-04-17,133.268753
2000-04-18,122.607811
2000-04-19,113.282028
2000-04-20,118.805466
2000-04-21,118.805466
2000-04-24,115.178123
2000-04-25,112.06797
2000-04-26,120.982811
2000-04-27,124.816406
2000-04-28,126.90078
2000-05-01,126.90078
2000-05-02,123.176559
2000-05-03,119.514061
2000-05-04,127.805466
2000-05-05,133.84375
2000-05-08,118.715622
2000-05-09,123.0625
2000-05-10,121.264847
2000-05-11,110.327347
2000-05-12,107.201561
2000-05-15,108.426559
2000-05-16,107.248436
2000-05-17,108.794533
2000-05-18,107.778908
2000-05-19,100.88047
2000-05-22,92.796875
2000-05-23,94.00547
2000-05-24,94.489059
2000-05-25,94.361717
2000-05-26,93.41172
2000-05-29,92.052345
2000-05-30,97.921097
2000-05-31,109.355469
2000-06-01,109.27578
2000-06-02,117.721878
2000-06-05,125.030472
2000-06-06,124.55703
2000-06-07,122.446877
2000-06-08,123.545311
2000-06-09,123.985153
2000-06-12,121.315628
2000-06-13,121.413284
2000-06-14,122.079689
2000-06-15,129.411713
2000-06-16,131.103912
2000-06-19,133.839066
2000-06-20,136.389847
2000-06-21,132.824219
2000-06-22,133.009369
2000-06-23,129.050781
2000-06-26,126.299217
2000-06-27,127.460938
2000-06-28,128.387497
2000-06-29,131.101563
2000-06-30,129.850006
2000-07-03,134.117966
2000-07-04,136.7164
2000-07-05,134.382034
2000-07-06,132.316406
2000-07-07,132.619537
2000-07-10,129.634369
2000-07-11,129.269531
2000-07-12,130.649216
2000-07-13,125.486717
2000-07-14,121.407028
2000-07-17,120.196877
2000-07-18,116.477341
2000-07-19,114.454689
2000-07-20,114.800781
2000-07-21,114.832809
2000-07-24,107.059372
2000-07-25,111.225784
2000-07-26,104.001564
2000-07-27,106.050003
2000-07-28,106.957809
2000-07-31,105.644531
2000-08-01,105.439842
2000-08-02,103.548439
2000-08-03,100.790627
2000-08-04,98.831253
2000-08-07,100.606247
2000-08-08,116.550781
2000-08-09,118.30703
2000-08-10,113.602341
2000-08-11,113.055466
2000-08-14,113.757813
2000-08-15,113.757813
2000-08-16,120.864059
2000-08-17,118.153908
2000-08-18,124.545311
2000-08-21,124.467186
2000-08-22,129.62265
2000-08-23,125.716408
2000-08-24,128.297653
2000-08-25,127.435158
2000-08-28,121.842186
2000-08-29,122.522659
2000-08-30,122.690628
2000-08-31,130.106247
2000-09-01,130.106247
2000-09-04,134.521881
2000-09-05,133.314056
2000-09-06,130.632813
2000-09-07,130.595306
2000-09-08,134.104691
2000-09-11,135.652344
2000-09-12,138.146881
2000-09-13,136.189056
2000-09-14,134.242966
2000-09-15,132.778122
2000-09-18,125.103905
2000-09-19,119.402344
2000-09-20,121.818748
2000-09-21,118.433594
2000-09-22,110.018753
2000-09-25,117.830467
2000-09-26,113.246872
2000-09-27,116.580467
2000-09-28,115.262497
2000-09-29,115.019531
2000-10-02,115.019531
2000-10-03,116.728127
2000-10-04,119.557816
2000-10-05,117.453903
2000-10-06,117.721092
2000-10-09,115.530472
2000-10-10,114.700783
2000-10-11,106.475784
2000-10-12,106.157814
2000-10-13,101.827347
2000-10-16,101.896095
2000-10-17,101.003906
2000-10-18,97.344528
2000-10-19,104.177345
2000-10-20,111.310158
2000-10-23,107.348434
2000-10-24,109.691406
2000-10-25,112.234375
2000-10-26,111.59375
2000-10-27,112.514847
2000-10-30,111.117966
2000-10-31,111.452347
2000-11-01,114.107811
2000-11-02,115.740623
2000-11-03,118.28125
2000-11-06,118.745316
2000-11-07,120.483597
2000-11-08,124.242188
2000-11-09,123.806252
2000-11-10,120.907814
2000-11-13,115.014061
2000-11-14,119.513283
2000-11-15,118.86953
2000-11-16,117.921875
2000-11-17,119.319534
2000-11-20,119.626564
2000-11-21,119.264061
2000-11-22,116.433594
2000-11-23,116.203903
2000-11-24,116.535934
2000-11-27,118.325783
2000-11-28,116.499222
2000-11-29,115.342186
2000-11-30,112.252342
2000-12-01,113.879684
2000-12-04,112.22422
2000-12-05,112.210938
2000-12-06,114.134377
2000-12-07,113.855469
2000-12-08,115.496094
2000-12-11,116.714844
2000-12-12,116.460938
2000-12-13,119.104691
2000-12-14,117.662498
2000-12-15,112.537498
2000-12-18,110.845314
2000-12-19,107.646095
2000-12-20,103.767967
2000-12-21,98.067184
2000-12-22,90.813278
2000-12-25,90.813278
2000-12-26,86.250778
2000-12-27,85.753906
2000-12-28,86.678123
2000-12-29,88.970314
2001-01-01,87.400002
2001-01-02,88.763283
2001-01-03,87.723434
2001-01-04,95.333595
2001-01-05,99.709373
2001-01-08,93.510155
2001-01-09,92.623436
2001-01-10,88.532814
2001-01-11,86.69297
2001-01-12,90.635155
2001-01-15,96.396095
2001-01-16,95.284378
2001-01-17,98.403908
2001-01-18,100.473434
2001-01-19,105.467972
2001-01-22,106.821877
2001-01-23,105.563278
2001-01-24,106.698441
2001-01-25,106.048439
2001-01-26,106.048439
2001-01-29,103.685158
2001-01-30,107.634377
2001-01-31,106.136719
2001-02-01,105.490623
2001-02-02,107.24453
2001-02-05,104.137497
2001-02-06,104.289841
2001-02-07,101.507034
2001-02-08,102.121094
2001-02-09,100.394531
2001-02-12,99.515625
2001-02-13,99.589066
2001-02-14,99.50547
2001-02-15,101.493752
2001-02-16,98.352341
2001-02-19,98.378906
2001-02-20,97.83828
2001-02-21,92.332809
2001-02-22,90.526566
2001-02-23,87.853127
2001-02-26,89.433594
2001-02-27,88.042969
2001-02-28,97.52578
2001-03-01,88.481247
2001-03-02,77.504684
2001-03-05,74.910156
2001-03-06,74.910156
2001-03-07,81.132034
2001-03-08,80.175003
2001-03-09,76.717186
2001-03-12,69.541405
2001-03-13,65.502342
2001-03-14,73.774216
2001-03-15,76.124222
2001-03-16,73.432816
2001-03-19,69.61953
2001-03-20,68.221092
2001-03-21,69.992966
2001-03-22,67.318748
2001-03-23,65.823441
2001-03-26,67.470314
2001-03-27,72.78125
2001-03-28,73.576561
2001-03-29,68.919533
2001-03-30,63.808594
2001-04-02,64.263283
2001-04-03,63.664063
2001-04-04,61.162498
2001-04-05,61.162498
2001-04-06,62.954685
2001-04-09,62.035156
2001-04-10,59.813282
2001-04-11,50.243752
2001-04-12,44.709373
2001-04-13,44.709373
2001-04-16,47.83828
2001-04-17,47.74453
2001-04-18,55.383595
2001-04-19,59.754688
2001-04-20,59.664845
2001-04-23,58.107033
2001-04-24,60.064842
2001-04-25,60.089062
2001-04-26,57.414845
2001-04-27,50.75703
2001-04-30,57.953125
2001-05-01,57.953125
2001-05-02,61.644531
2001-05-03,59.414845
2001-05-04,59.714062
2001-05-07,62.39922
2001-05-08,62.010937
2001-05-09,60.360157
2001-05-10,60.303123
2001-05-11,60.755466
2001-05-14,60.604687
2001-05-15,60.976563
2001-05-16,59.732811
2001-05-17,60.936718
2001-05-18,61.696095
2001-05-21,61.770313
2001-05-22,62.084373
2001-05-23,65.974998
2001-05-24,65.010941
2001-05-25,65.239059
2001-05-28,66.9375
2001-05-29,66.350784
2001-05-30,61.382813
2001-05-31,58.942188
2001-06-01,58.690624
2001-06-04,56.528908
2001-06-05,59.255466
2001-06-06,59.464062
2001-06-07,60.425781
2001-06-08,61.604687
2001-06-11,59.498436
2001-06-12,59.923435
2001-06-13,59.950783
2001-06-14,59.385937
2001-06-15,53.197655
2001-06-18,52.085155
